X,Y,
-113.6494647,17.6198782,
-114.1392073,17.72023678,
-114.623211,17.84358033,
-115.100921,17.98956625,
-115.5715676,18.1578762,
-116.0336816,18.34775755,
-116.4864777,18.55838495,
-116.9298367,18.78937855,
-117.3625487,19.03989215,
-117.7832606,19.30879945,
-118.192334,19.5959881,
-118.5889938,19.90063875,
-118.9718015,20.2212564,
-119.3412346,20.5578427,
-119.6966639,20.90950273,
-120.0372307,21.27497808,
-120.3630454,21.65394803,
-120.6737007,22.04550508,
-120.9688529,22.44870338,
-121.2484731,22.86285123,
-121.5128489,23.28693975,
-121.7628711,23.71957273,
-122.0004058,24.15914833,
-122.2265635,24.6048515,
-122.4411966,25.05607595,
-122.6433383,25.51303495,
-122.831178,25.97626103,
-123.0019874,26.4458684,
-123.1527339,26.92233708,
-123.2815088,27.40519533,
-123.3875391,27.89353028,
-123.4708291,28.3863102,
-123.5314374,28.88229318,
-123.5694999,29.3805647,
-123.5852161,29.88012363,
-123.5788356,30.3797144,
-123.5506503,30.87863023,
-123.5009763,31.37598835,
-123.4302215,31.87056333,
-123.3387524,32.36179238,
-123.2269645,32.84896465,
-123.095402,33.33094078,
-122.9444841,33.80723565,
-122.7746561,34.27727528,
-122.5865463,34.74012145,
-122.3805132,35.195346,
-122.1570083,35.64206823,
-121.9163507,36.07992343,
-121.6590985,36.50865198,
-121.386433,36.92732593,
-121.0985716,37.33608008,
-120.7963848,37.73397018,
-120.4799582,38.12124415,
-120.1501484,38.49743013,
-119.8085255,38.86137358,
-119.4540779,39.2143804,
-119.088037,39.55498623,
-118.7114748,39.88250863,
-118.3241453,40.19773275,
-117.9265981,40.5005842,
-117.5200581,40.7903484,
-117.1041928,41.0675957,
-116.6801901,41.33196625,
-116.2484185,41.58362875,
-115.8093901,41.82254788,
-115.3637531,42.0487091,
-114.9120734,42.26214578,
-114.4550419,42.46222315,
-113.9914132,42.64946398,
-113.523457,42.82357563,
-113.0512993,42.98534808,
-112.5737928,43.13561375,
-112.0933319,43.27391278,
-111.6101769,43.4006186,
-111.1234972,43.51659513,
-110.6348823,43.62188873,
-110.1443505,43.7165111,
-109.6515599,43.80065318,
-109.1572694,43.8744215,
-108.6616567,43.93809293,
-108.1646818,43.99198555,
-107.6669176,44.03636998,
-107.1683581,44.0716115,
-106.6692868,44.09808525,
-106.1698291,44.11621035,
-105.6700627,44.12643733,
-105.1704552,44.12919485,
-104.6705633,44.12490653,
-104.1709067,44.1140067,
-103.6717212,44.09684355,
-103.172434,44.07359293,
-102.6735665,44.04425753,
-102.1751751,44.00886558,
-101.6770759,43.96749145,
-101.17958,43.92028233,
-100.6827132,43.86745438,
-100.1863202,43.80929823,
-99.69058025,43.746244,
-99.19545083,43.6788192,
-98.70077443,43.60764673,
-98.20656675,43.53345878,
-97.71274953,43.45692315,
-97.21916928,43.37858498,
-96.72585085,43.29884033,
-96.23270288,43.21790643,
-95.7397441,43.13589605,
-95.2469462,43.05286275,
-94.7543055,42.96884335,
-94.26184858,42.88387133,
-93.76954373,42.7979724,
-93.27738218,42.71118218,
-92.78539188,42.62354933,
-92.29353533,42.53511693,
-91.80180155,42.44593578,
-91.31021458,42.3560646,
-90.81873645,42.26555013,
-90.32735698,42.17444208,
-89.83609733,42.08279335,
-89.34492308,41.99064273,
-88.8538261,41.8980304,
-88.36282558,41.80499828,
-87.8718916,41.71157533,
-87.38101803,41.61779205,
-86.89022233,41.52368073,
-86.39947863,41.4292627,
-85.9087824,41.33456128,
-85.41814928,41.2396017,
-84.92755688,41.14440015,
-84.43700183,41.04897498,
-83.94649788,40.95334658,
-83.45602558,40.85752765,
-82.9655825,40.76153315,
-82.47518043,40.66537995,
-81.98480263,40.56907828,
-81.49444735,40.47264048,
-81.00412455,40.37608033,
-80.51382008,40.27940575,
-80.0235329,40.18262615,
-79.53327153,40.08575158,
-79.04302448,39.98878648,
-78.55279155,39.8917359,
